times,temp,humidity,light,sound
11:41:40 14-06-2026,33.50,69.40,6.67,1872.00
11:42:00 14-06-2026,33.40,69.30,5.00,1846.00
11:42:23 14-06-2026,33.20,68.60,6.67,1870.00
11:42:43 14-06-2026,33.10,67.40,5.83,1919.00
11:43:03 14-06-2026,33.10,68.40,7.50,2352.00
11:43:24 14-06-2026,33.00,70.10,5.83,623.00
11:43:44 14-06-2026,32.90,69.80,10.00,2153.00
11:44:04 14-06-2026,32.90,69.10,7.50,1781.00
11:44:25 14-06-2026,32.80,70.40,3.33,1876.00
11:44:45 14-06-2026,32.80,70.80,5.00,1882.00
11:45:06 14-06-2026,32.80,70.70,7.50,1797.00
11:45:26 14-06-2026,32.80,71.50,5.83,1937.00
11:45:46 14-06-2026,32.80,67.50,5.00,1824.00
11:46:07 14-06-2026,32.80,68.60,199.17,1807.00
11:46:27 14-06-2026,32.80,69.20,14.17,1515.00
11:46:48 14-06-2026,32.80,69.40,2.50,1814.00
11:47:08 14-06-2026,32.80,73.00,6.67,1867.00
11:47:28 14-06-2026,32.80,73.30,10.83,1884.00
11:47:49 14-06-2026,32.90,69.10,10.83,1853.00
11:48:09 14-06-2026,32.90,68.50,11.67,1863.00
11:48:32 14-06-2026,32.90,69.40,9.17,1953.00
11:48:52 14-06-2026,33.10,69.00,8.33,1854.00
11:49:12 14-06-2026,33.10,69.20,9.17,1872.00
11:49:35 14-06-2026,33.20,68.60,9.17,1819.00
11:49:55 14-06-2026,33.30,68.10,9.17,1871.00
11:50:18 14-06-2026,33.30,66.80,9.17,1829.00
11:50:38 14-06-2026,33.30,67.30,9.17,1942.00
11:51:20 14-06-2026,33.40,66.20,9.17,1858.00
11:51:25 14-06-2026,33.40,66.20,9.17,2066.00
11:51:59 14-06-2026,33.30,66.70,6.67,2380.00
11:52:04 14-06-2026,33.30,66.40,5.83,1908.00
11:52:10 14-06-2026,33.30,65.70,1.67,1777.00
11:52:15 14-06-2026,33.20,66.50,4.17,1962.00
11:52:20 14-06-2026,33.20,67.50,4.17,1709.00
11:52:26 14-06-2026,33.20,68.10,0.83,1872.00
11:52:31 14-06-2026,33.20,70.10,16.67,1983.00
11:52:36 14-06-2026,33.20,69.20,3.33,1728.00
11:52:42 14-06-2026,33.20,68.30,4.17,2331.00
11:52:49 14-06-2026,33.20,68.10,13.33,1926.00
11:52:54 14-06-2026,33.20,68.20,13.33,2304.00
