times,temp,humidity,light,sound
21:47:19 13-06-2026,30.10,91.50,9.17,1849.00
21:47:24 13-06-2026,30.20,91.50,9.17,1857.00
21:47:25 13-06-2026,30.20,91.50,9.17,1852.00
21:47:26 13-06-2026,30.20,91.50,9.17,1863.00
21:47:28 13-06-2026,30.20,91.50,9.17,1873.00
21:47:29 13-06-2026,30.20,91.40,9.17,1866.00
21:47:30 13-06-2026,30.20,91.40,9.17,1852.00
21:47:31 13-06-2026,30.10,91.40,9.17,1865.00
21:47:32 13-06-2026,30.10,91.40,9.17,1863.00
21:47:34 13-06-2026,30.10,91.30,9.17,1872.00
21:47:35 13-06-2026,30.10,91.30,9.17,1867.00
21:47:37 13-06-2026,30.20,91.40,9.17,1876.00
21:47:38 13-06-2026,30.20,91.40,9.17,1855.00
21:47:40 13-06-2026,30.10,91.30,9.17,1857.00
21:47:41 13-06-2026,30.10,91.30,9.17,1867.00
21:47:44 13-06-2026,30.20,91.40,9.17,1870.00
21:47:46 13-06-2026,30.20,91.40,9.17,1878.00
21:47:47 13-06-2026,30.20,91.40,-1.00,1857.00
21:47:48 13-06-2026,30.10,91.30,9.17,1879.00
21:48:59 13-06-2026,30.20,91.30,9.17,1870.00
21:49:02 13-06-2026,30.20,91.30,9.17,1867.00
21:49:03 13-06-2026,30.10,91.30,9.17,1870.00
21:49:05 13-06-2026,30.20,91.30,9.17,1871.00
21:49:08 13-06-2026,30.20,91.30,9.17,1857.00
21:49:16 13-06-2026,30.10,91.40,9.17,1868.00
21:49:18 13-06-2026,30.10,91.40,9.17,1866.00
21:49:20 13-06-2026,30.20,91.40,-1.00,1872.00
21:49:22 13-06-2026,30.10,91.40,9.17,1883.00
21:49:24 13-06-2026,30.10,91.40,9.17,1866.00
21:49:25 13-06-2026,30.10,91.50,9.17,1878.00
21:49:29 13-06-2026,30.20,91.40,9.17,1871.00
21:49:31 13-06-2026,30.20,91.40,9.17,1875.00
21:49:32 13-06-2026,30.20,91.50,9.17,1846.00
21:49:34 13-06-2026,30.20,91.50,9.17,1863.00
21:49:35 13-06-2026,30.10,91.50,9.17,1811.00
21:49:38 13-06-2026,30.20,91.50,9.17,1885.00
21:49:40 13-06-2026,30.20,91.50,9.17,1861.00
21:49:41 13-06-2026,30.20,91.50,9.17,1860.00
